UMAP1,UMAP2,temp,Cluster,Grid_X,Grid_Y,State,Cluster_Change
0.13445644,-3.340458,449.5,0,0,-1,rubbery,False
4.944716,-1.9054582,450.0,4,0,-1,rubbery,False
4.912501,-1.9344958,450.5,4,0,-1,rubbery,False
4.8927646,-1.8442324,451.0,4,0,-1,rubbery,False
4.946587,-1.8866006,451.5,4,0,-1,rubbery,False
4.8798933,-1.8940957,452.0,4,0,-1,rubbery,False
5.040243,-1.7989584,452.5,4,0,-1,rubbery,False
5.0035357,-1.9252094,453.0,4,0,-1,rubbery,False
4.9401436,-1.9178507,453.5,4,0,-1,rubbery,False
5.045329,-1.9698529,454.0,4,0,-1,rubbery,False
4.9468193,-1.9066396,454.5,4,0,-1,rubbery,False
5.0706034,-1.9568262,455.0,4,0,-1,rubbery,False
5.0621657,-1.8025777,455.5,4,0,-1,rubbery,False
5.0474544,-1.8246977,456.0,4,0,-1,rubbery,False
4.9879494,-1.8628025,456.5,4,0,-1,rubbery,False
5.049737,-1.8293889,457.0,4,0,-1,rubbery,False
5.152903,-1.751712,457.5,4,0,-1,rubbery,False
5.0874944,-1.8011507,458.0,4,0,-1,rubbery,False
5.1167,-1.7434832,458.5,4,0,-1,rubbery,False
5.2772894,-1.567435,459.0,4,0,-1,rubbery,False
5.3490825,-1.4665357,459.5,4,0,-1,rubbery,False
5.7712016,-0.9734696,460.0,4,0,-1,rubbery,False
5.605349,-1.1611062,460.5,4,0,-1,rubbery,False
5.5939045,-1.1703168,461.0,4,0,-1,rubbery,False
5.841935,-0.8967402,461.5,4,0,-1,rubbery,False
5.7298055,-1.013987,462.0,4,0,-1,rubbery,False
5.857946,-0.89185643,462.5,4,0,-1,rubbery,False
6.0233316,-0.7094178,463.0,4,0,-1,rubbery,False
5.980064,-0.7511971,463.5,4,0,-1,rubbery,False
5.985825,-0.74491274,464.0,4,0,-1,rubbery,False
5.9644833,-0.7656136,464.5,4,0,-1,rubbery,False
6.0025434,-0.7291431,465.0,4,0,-1,rubbery,False
5.9949207,-0.73504996,465.5,4,0,-1,rubbery,False
6.0000076,-0.7312693,466.0,4,0,-1,rubbery,False
5.917911,-0.81363523,466.5,4,0,-1,rubbery,False
5.798338,-0.89908475,467.0,4,0,-1,rubbery,False
5.803304,-0.929403,467.5,4,0,-1,rubbery,False
6.0359488,-0.6929378,468.0,4,0,-1,rubbery,False
5.9207277,-0.8108521,468.5,4,0,-1,rubbery,False
5.8204417,-0.91192985,469.0,4,0,-1,rubbery,False
5.948707,-0.77981824,469.5,4,0,-1,rubbery,False
21.733395,28.740715,470.0,2,2,2,rubbery,False
21.848583,28.878561,470.5,2,2,2,rubbery,False
21.861822,28.879963,471.0,2,2,2,rubbery,False
21.8418,28.884119,471.5,2,2,2,rubbery,False
21.881472,28.896456,472.0,2,2,2,rubbery,False
21.90015,28.855223,472.5,2,2,2,rubbery,False
21.7832,28.808537,473.0,2,2,2,rubbery,False
21.835024,28.870672,473.5,2,2,2,rubbery,False
21.904781,28.980368,474.0,2,2,2,rubbery,False
21.839304,28.937809,474.5,2,2,2,rubbery,False
21.94004,29.038473,475.0,2,2,2,rubbery,False
21.988758,29.059221,475.5,2,2,2,rubbery,False
21.954216,29.045694,476.0,2,2,2,rubbery,False
21.980787,29.090113,476.5,2,2,2,rubbery,False
21.99833,29.236237,477.0,2,2,2,rubbery,False
21.966629,29.085804,477.5,2,2,2,rubbery,False
22.178865,29.546944,478.0,2,2,2,rubbery,False
22.121277,29.429323,478.5,2,2,2,rubbery,False
22.104973,29.383018,479.0,2,2,2,rubbery,False
22.164295,29.51343,479.5,2,2,2,rubbery,False
22.923098,30.719057,480.0,2,2,3,rubbery,False
22.905422,30.512516,480.5,2,2,3,rubbery,False
22.970314,30.501373,481.0,2,2,3,rubbery,False
23.039696,30.614172,481.5,2,2,3,rubbery,False
23.00818,30.669392,482.0,2,2,3,rubbery,False
22.858395,30.670319,482.5,2,2,3,rubbery,False
22.864145,30.819305,483.0,2,2,3,rubbery,False
22.891493,30.79222,483.5,2,2,3,rubbery,False
22.938623,30.76958,484.0,2,2,3,rubbery,False
22.938349,30.726875,484.5,2,2,3,rubbery,False
23.001293,30.791407,485.0,2,2,3,rubbery,False
22.89839,30.814976,485.5,2,2,3,rubbery,False
22.95929,30.798555,486.0,2,2,3,rubbery,False
22.956688,30.809147,486.5,2,2,3,rubbery,False
22.776037,30.717161,487.0,2,2,3,rubbery,False
22.757599,30.620413,487.5,2,2,3,rubbery,False
22.755636,30.605919,488.0,2,2,3,rubbery,False
22.79834,30.848274,488.5,2,2,3,rubbery,False
22.78947,30.782461,489.0,2,2,3,rubbery,False
22.484499,30.323275,489.5,2,2,3,rubbery,False
22.372812,30.131523,490.0,2,2,3,rubbery,False
22.436028,30.151098,490.5,2,2,3,rubbery,False
22.333643,29.921751,491.0,2,2,2,rubbery,False
22.339815,29.945965,491.5,2,2,2,rubbery,False
22.357426,29.949675,492.0,2,2,2,rubbery,False
22.4621,30.030645,492.5,2,2,3,rubbery,False
22.472004,30.04364,493.0,2,2,3,rubbery,False
22.590492,30.046162,493.5,2,2,3,rubbery,False
22.52521,30.091164,494.0,2,2,3,rubbery,False
22.648119,30.108974,494.5,2,2,3,rubbery,False
22.648348,30.103846,495.0,2,2,3,rubbery,False
22.73735,30.133995,495.5,2,2,3,rubbery,False
22.740976,30.116257,496.0,2,2,3,rubbery,False
22.763803,30.209238,496.5,2,2,3,rubbery,False
22.760216,30.225355,497.0,2,2,3,rubbery,False
22.786617,30.200342,497.5,2,2,3,rubbery,False
22.835922,30.236874,498.0,2,2,3,rubbery,False
22.810835,30.233652,498.5,2,2,3,rubbery,False
22.740639,30.145838,499.0,2,2,3,rubbery,False
22.79196,30.179028,499.5,2,2,3,rubbery,False
22.732655,30.377985,500.0,2,2,3,rubbery,False
